name,slug,value,date_of_information,ranking,region
"Timor-Leste","timor-leste","5.65","2021 est.","79","East and Southeast Asia"
"Portugal","portugal","5.63","2021 est.","80","Europe"
"Sri Lanka","sri-lanka","5.62","2021 est.","81","South Asia"
"Mexico","mexico","5.44","2021 est.","82","North America"
"Eritrea","eritrea","5.40","2017 est.","83","Africa"
"Togo","togo","5.32","2020 est.","84","Africa"
"Denmark","denmark","5.25","2021 est.","85","Europe"
"Macau","macau","5.17","2021 est.","86","East and Southeast Asia"
"Kazakhstan","kazakhstan","5.10","2021 est.","87","Central Asia"
"Korea, South","korea-south","5.09","2021 est.","88","East and Southeast Asia"
"Chile","chile","5.06","2021 est.","89","South America"
"Dominica","dominica","5.01","2021 est.","90","Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","5.00","2021 est.","91","Central America and the Caribbean"
"Netherlands","netherlands","4.93","2021 est.","92","Europe"
"Vanuatu","vanuatu","4.92","2018 est.","93","Australia and Oceania"
"Russia","russia","4.90","2021 est.","94","Central Asia"
"Canada","canada","4.74","2021 est.","95","North America"
"Paraguay","paraguay","4.69","2021 est.","96","South America"
"Maldives","maldives","4.51","2021 est.","97","South Asia"
"Nepal","nepal","4.51","2021 est.","98","South Asia"
"Brazil","brazil","4.48","2021 est.","99","South America"
"Zambia","zambia","4.18","2021 est.","100","Africa"
"Niger","niger","4.09","2021 est.","101","Africa"
"Romania","romania","4.07","2021 est.","102","Europe"
"Spain","spain","4.03","2021 est.","103","Europe"
"Anguilla","anguilla","4.00","2017 est.","104","Central America and the Caribbean"
"Guinea","guinea","3.90","2021 est.","105","Africa"
"Taiwan","taiwan","3.90","2017 est.","106","East and Southeast Asia"
"Seychelles","seychelles","3.63","2021 est.","107","Africa"
"Germany","germany","3.61","2021 est.","108","Europe"
"Vietnam","vietnam","3.58","2021 est.","109","East and Southeast Asia"
"New Caledonia","new-caledonia","3.50","2017 est.","110","Australia and Oceania"
"Somalia","somalia","3.50","2014 est.","111","Africa"
"Uganda","uganda","3.47","2021 est.","112","Africa"
"Indonesia","indonesia","3.42","2021 est.","113","East and Southeast Asia"
"Armenia","armenia","3.40","2021 est.","114","Middle East"
"Faroe Islands","faroe-islands","3.40","2009 est.","115","Europe"
"Poland","poland","3.36","2021 est.","116","Europe"
"Thailand","thailand","3.34","2021 est.","117","East and Southeast Asia"
"Czechia","czechia","3.30","2021 est.","118","Europe"
"United States","united-states","3.25","2021 est.","119","North America"
"Cameroon","cameroon","3.22","2021 est.","120","Africa"
"Iran","iran","3.21","2021 est.","121","Middle East"
"Gabon","gabon","3.20","2021 est.","122","Africa"
"Kyrgyzstan","kyrgyzstan","3.10","2021 est.","123","Central Asia"
"Jordan","jordan","3.02","2021 est.","124","Middle East"
"Luxembourg","luxembourg","2.87","2021 est.","125","Europe"
"Finland","finland","2.77","2021 est.","126","Europe"
"Ukraine","ukraine","2.57","2021 est.","127","Europe"
"United Arab Emirates","united-arab-emirates","2.54","2021 est.","128","Middle East"
"Slovakia","slovakia","2.46","2021 est.","129","Europe"
"Georgia","georgia","2.40","2021 est.","130","Middle East"
"Jamaica","jamaica","2.38","2021 est.","131","Central America and the Caribbean"
"Norway","norway","2.19","2021 est.","132","Europe"
"Hong Kong","hong-kong","2.08","2021 est.","133","East and Southeast Asia"
"Bhutan","bhutan","1.96","2021 est.","134","South Asia"
"Azerbaijan","azerbaijan","1.95","2021 est.","135","Middle East"
"Latvia","latvia","1.93","2021 est.","136","Europe"
"Malawi","malawi","1.90","2021 est.","137","Africa"
"Bulgaria","bulgaria","1.72","2021 est.","138","Europe"
"Saudi Arabia","saudi-arabia","1.71","2021 est.","139","Middle East"
"Saint Kitts and Nevis","saint-kitts-and-nevis","1.55","2021 est.","140","Central America and the Caribbean"
"Namibia","namibia","1.44","2021 est.","141","Africa"
"Sao Tome and Principe","sao-tome-and-principe","1.44","2021 est.","142","Africa"
"Burundi","burundi","1.40","2021 est.","143","Africa"
"Montenegro","montenegro","1.39","2021 est.","144","Europe"
"Belgium","belgium","1.28","2021 est.","145","Europe"
"Tonga","tonga","1.23","2021 est.","146","Australia and Oceania"
"British Virgin Islands","british-virgin-islands","1.10","2017 est.","147","Central America and the Caribbean"
"Oman","oman","1.05","2021 est.","148","Middle East"
"Mali","mali","1.01","2021 est.","149","Africa"
"Cook Islands","cook-islands","1.00","2002","150","Australia and Oceania"
"Korea, North","korea-north","1.00","2017 est.","151","East and Southeast Asia"
"Turkmenistan","turkmenistan","1.00","2017 est.","152","Central Asia"
"Qatar","qatar","0.66","2021 est.","153","Middle East"
