name,slug,value,date_of_information,ranking,region
"Guinea-Bissau","guinea-bissau","867,500","2021 est.","149","Africa"
"Gambia, The","gambia-the","856,100","2021 est.","150","Africa"
"Bahrain","bahrain","819,100","2021 est.","151","Middle East"
"Moldova","moldova","810,000","2021 est.","152","Europe"
"Gabon","gabon","718,400","2021 est.","153","Africa"
"Estonia","estonia","704,700","2021 est.","154","Europe"
"Trinidad and Tobago","trinidad-and-tobago","702,900","2021 est.","155","Central America and the Caribbean"
"Cyprus","cyprus","655,100","2021 est.","156","Europe"
"Mauritius","mauritius","597,900","2021 est.","157","Africa"
"Timor-Leste","timor-leste","569,700","2021 est.","158","East and Southeast Asia"
"Equatorial Guinea","equatorial-guinea","549,800","2021 est.","159","Africa"
"Kosovo","kosovo","500,300","2017 est.","160","Europe"
"Macau","macau","404,500","2021 est.","161","East and Southeast Asia"
"Eswatini","eswatini","383,500","2021 est.","162","Africa"
"Fiji","fiji","372,200","2021 est.","163","Australia and Oceania"
"Solomon Islands","solomon-islands","366,000","2021 est.","164","Australia and Oceania"
"Bhutan","bhutan","361,000","2021 est.","165","South Asia"
"Luxembourg","luxembourg","333,900","2021 est.","166","Europe"
"Guyana","guyana","299,300","2021 est.","167","South America"
"Malta","malta","280,300","2021 est.","168","Europe"
"Montenegro","montenegro","277,400","2021 est.","169","Europe"
"Suriname","suriname","244,200","2021 est.","170","South America"
"Djibouti","djibouti","240,500","2021 est.","171","Africa"
"Cabo Verde","cabo-verde","234,300","2021 est.","172","Africa"
"Maldives","maldives","229,300","2021 est.","173","South Asia"
"Bahamas, The","bahamas-the","224,400","2021 est.","174","Central America and the Caribbean"
"Comoros","comoros","219,900","2021 est.","175","Africa"
"Brunei","brunei","219,800","2021 est.","176","East and Southeast Asia"
"Iceland","iceland","200,300","2021 est.","177","Europe"
"Belize","belize","176,900","2021 est.","178","Central America and the Caribbean"
"Barbados","barbados","139,100","2021 est.","179","Central America and the Caribbean"
"Vanuatu","vanuatu","132,700","2021 est.","180","Australia and Oceania"
"New Caledonia","new-caledonia","132,200","2021 est.","181","Australia and Oceania"
"French Polynesia","french-polynesia","130,100","2021 est.","182","Australia and Oceania"
"Saint Lucia","saint-lucia","99,900","2021 est.","183","Central America and the Caribbean"
"Guernsey","guernsey","86,800","2021 est.","184","Europe"
"Jersey","jersey","86,800","2021 est.","185","Europe"
"Guam","guam","76,200","2021 est.","186","Australia and Oceania"
"Curacao","curacao","73,010","2013","187","Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","71,400","2021 est.","188","Africa"
"Samoa","samoa","58,400","2021 est.","189","Australia and Oceania"
"Grenada","grenada","55,270","2017 est.","190","Central America and the Caribbean"
"Monaco","monaco","52,000","2014 est.","191","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","51,700","2021 est.","192","Central America and the Caribbean"
"Aruba","aruba","51,610","2007 est.","193","Central America and the Caribbean"
"Seychelles","seychelles","51,000","2018 est.","194","Africa"
"Virgin Islands","virgin-islands","42,200","2021 est.","195","Central America and the Caribbean"
"Isle of Man","isle-of-man","41,790","2006","196","Europe"
"Andorra","andorra","39,750","2016","197","Europe"
"Cayman Islands","cayman-islands","39,000","2007 est.","198","Central America and the Caribbean"
"Kiribati","kiribati","39,000","2010 est.","199","Australia and Oceania"
"Liechtenstein","liechtenstein","38,520","2015 est.","200","Europe"
"Micronesia, Federated States of","micronesia-federated-states-of","37,920","2010 est.","201","Australia and Oceania"
"Bermuda","bermuda","33,480","2016 est.","202","North America"
"Tonga","tonga","32,000","2021 est.","203","Australia and Oceania"
"Antigua and Barbuda","antigua-and-barbuda","30,000","1991","204","Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","27,970","2010 est.","205","Australia and Oceania"
"Faroe Islands","faroe-islands","27,540","2017 est.","206","Europe"
"Greenland","greenland","26,840","2015 est.","207","North America"
"Dominica","dominica","25,000","2000 est.","208","Central America and the Caribbean"
"Gibraltar","gibraltar","24,420","2014 est.","209","Europe"
"Sint Maarten","sint-maarten","23,200","2008 est.","210","Central America and the Caribbean"
"San Marino","san-marino","21,960","September 2013 est.","211","Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","18,170","June 1995 est.","212","Central America and the Caribbean"
"American Samoa","american-samoa","17,850","2015 est.","213","Australia and Oceania"
"Saint Martin","saint-martin","17,300","","214","Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","12,770","2004","215","Central America and the Caribbean"
"Palau","palau","11,610","2016","216","Australia and Oceania"
"Marshall Islands","marshall-islands","10,670","2013 est.","217","Australia and Oceania"
"Cook Islands","cook-islands","6,820","2001","218","Australia and Oceania"
"Anguilla","anguilla","6,049","2001","219","Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","4,848","1990 est.","220","Central America and the Caribbean"
"Holy See (Vatican City)","holy-see-vatican-city","4,822","2016","221","Europe"
"Montserrat","montserrat","4,521","2012","222","Central America and the Caribbean"
"Wallis and Futuna","wallis-and-futuna","4,482","2013","223","Australia and Oceania"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","4,429","2015","224","North America"
"Tuvalu","tuvalu","3,615","2004 est.","225","Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","2,486","1998 est.","226","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","1,850","2016 est.","227","South America"
"Svalbard","svalbard","1,590","2013","228","Europe"
"Tokelau","tokelau","1,100","2019 est.","229","Australia and Oceania"
"Norfolk Island","norfolk-island","978","2006","230","Australia and Oceania"
"Niue","niue","663","2001","231","Australia and Oceania"
"Pitcairn Islands","pitcairn-islands","15","2004","232","Australia and Oceania"
